customerID,gender,Partner,Dependents,tenure,Contract,MonthlyCharges,Churn
4070-OKWVH,Female,Yes,No,52,Month-to-month,94.6,No
9019-QVLZD,Female,No,No,1,Month-to-month,79.55,Yes
0512-FLFDW,Female,Yes,No,60,One year,100.5,No
2990-HWIML,Female,No,No,6,Month-to-month,89.5,Yes
2040-XBAVJ,Male,Yes,Yes,72,Two year,114.45,No
3722-WPXTK,Male,No,No,1,Month-to-month,88.35,Yes
6114-TCFID,Female,No,No,29,One year,39.5,No
7971-HLVXI,Male,Yes,Yes,72,Two year,84.5,No
2642-DTVCO,Male,No,No,9,Month-to-month,85.05,Yes
5044-XDPYX,Female,Yes,No,51,Two year,25.5,No
5149-TGWDZ,Female,No,No,21,One year,104.55,No
8444-WRIDW,Female,No,No,66,Month-to-month,80.45,Yes
0871-URUWO,Male,Yes,No,13,Month-to-month,102.25,Yes
4274-DRSQT,Female,No,No,66,One year,88.9,No
7016-BPGEU,Female,No,No,29,Month-to-month,25.1,Yes
4893-GYUJU,Female,No,No,50,One year,19.35,No
1042-HFUCW,Female,No,Yes,25,One year,54.75,No
8111-BKVDS,Female,No,No,10,Month-to-month,40.7,No
9114-VEPUF,Male,Yes,No,62,One year,96.1,No
8735-DCXNF,Male,Yes,No,10,Month-to-month,54.95,No
7515-LODFU,Male,No,No,69,Two year,20.3,No
9738-QLWTP,Male,No,No,39,One year,81.9,No
1110-KYLGQ,Female,No,No,63,Month-to-month,108.25,No
4640-UHDOS,Female,Yes,Yes,13,Month-to-month,55.95,Yes
5968-HYJRZ,Male,Yes,Yes,47,Two year,24.55,No
5360-LJCNJ,Female,Yes,No,71,Two year,105.15,No
4188-PCPIG,Female,Yes,No,57,Two year,70.35,No
9553-DLCLU,Female,No,Yes,13,Two year,88.95,No
7216-EWTRS,Female,Yes,No,1,Month-to-month,100.8,Yes
3466-WAESX,Male,No,Yes,16,Month-to-month,69.1,No
4700-UBQMV,Male,Yes,Yes,21,One year,75.9,No
5693-PIPCS,Male,No,No,41,Two year,99.65,No
5937-EORGB,Male,Yes,No,15,Month-to-month,96.5,No
2190-BCXEC,Female,Yes,No,40,Month-to-month,78.85,No
3006-XIMLN,Female,No,Yes,2,Month-to-month,94.2,Yes
2900-PHPLN,Female,Yes,No,70,Two year,19.55,No
6956-SMUCM,Female,No,No,3,Month-to-month,99,Yes
7734-DBOAI,Female,Yes,Yes,1,Month-to-month,40.1,Yes
8111-RKSPX,Male,No,No,4,Month-to-month,72.2,Yes
9548-LERKT,Male,Yes,No,24,Two year,19.75,No
4942-VZZOM,Male,Yes,No,64,One year,66.15,No
1814-WFGVS,Male,Yes,Yes,72,Two year,48.9,No
9172-ANCRX,Female,No,No,10,Month-to-month,98.7,Yes
6563-VNPMN,Female,No,No,45,Month-to-month,85.7,No
8644-XLFBW,Male,No,No,1,Month-to-month,71.65,Yes
6746-WAUWT,Male,No,No,19,One year,19.7,No
5977-CKHON,Female,Yes,Yes,43,Month-to-month,92.55,No
6518-PPLMZ,Male,Yes,Yes,53,Two year,19.4,No
0019-EFAEP,Female,No,No,72,Two year,101.3,No
3374-TTZTK,Male,Yes,No,52,Two year,106.3,No
6067-NGCEU,Female,No,No,65,Month-to-month,111.05,No
6537-QLGEX,Female,No,No,16,Month-to-month,38.9,No
1304-SEGFY,Female,Yes,No,72,Two year,97.85,No
2696-NARTR,Male,No,No,11,Month-to-month,73.85,Yes
6624-JDRDS,Female,No,No,6,Month-to-month,29.45,No
6500-JVEGC,Male,No,No,68,One year,101.35,No
1360-RCYRT,Male,Yes,Yes,23,Month-to-month,30.35,No
6050-FFXES,Female,Yes,No,69,Two year,105.35,No
5180-UCIIQ,Male,Yes,Yes,22,Month-to-month,40.05,Yes
4282-MSACW,Male,No,No,68,One year,117.2,No
4488-PSYCG,Male,No,No,16,Month-to-month,20.25,Yes
8835-VSDSE,Female,Yes,No,2,Month-to-month,70.7,Yes
9833-TGFHX,Male,Yes,Yes,42,One year,97.1,No
8668-KNZTI,Male,No,No,52,One year,53.75,No
3143-JQEGI,Female,Yes,Yes,13,Month-to-month,88.35,Yes
8582-KRHPJ,Male,No,No,50,Month-to-month,35,No
4566-GOLUK,Male,Yes,Yes,47,Month-to-month,107.35,Yes
3877-JRJIP,Male,No,No,1,Month-to-month,59.85,Yes
8398-TBIYD,Female,No,No,72,Two year,84.7,No
7526-BEZQB,Male,No,No,12,Month-to-month,96.05,Yes
5447-VYTKW,Male,No,No,27,Month-to-month,53.45,No
7465-ZZRVX,Male,No,No,1,Month-to-month,70.35,No
2623-DRYAM,Female,Yes,No,70,One year,101.75,No
8029-XYPWT,Male,Yes,No,71,Two year,115.05,No
8799-OXZMD,Female,No,No,28,Month-to-month,29.75,No
4501-EQDRN,Female,No,No,1,Month-to-month,69.7,Yes
2428-ZMCTB,Male,No,No,10,Month-to-month,19.75,No
7361-YPXFS,Female,No,No,28,Month-to-month,64.45,No
6689-KXGBO,Female,No,No,1,Month-to-month,50.55,Yes
2239-JALAW,Male,No,No,58,One year,103.25,Yes
5022-JNQEQ,Female,Yes,Yes,9,Month-to-month,75.85,No
6370-ZVHDV,Female,Yes,No,61,Two year,25.3,No
7272-QDCKA,Male,No,No,28,One year,100.2,No
6543-XRMYR,Female,No,No,30,Month-to-month,99.7,Yes
1442-BQPVU,Female,No,No,13,Month-to-month,29.15,No
8041-TMEID,Male,Yes,No,63,Two year,108.5,No
0114-RSRRW,Female,Yes,No,10,Month-to-month,19.95,No
0520-FDVVT,Male,No,No,35,One year,102.35,Yes
9068-VPWQQ,Male,Yes,No,61,Two year,75.35,No
6120-RJKLU,Female,Yes,No,62,Two year,79.95,No
2626-URJFX,Male,Yes,Yes,4,Month-to-month,50.9,Yes
2207-QPJED,Female,Yes,No,37,Month-to-month,90,No
9138-EFSMO,Male,Yes,Yes,26,One year,78.95,No
4489-SNOJF,Female,Yes,Yes,35,Month-to-month,72.25,Yes
8805-JNRAZ,Female,No,No,2,Month-to-month,49.2,No
2266-SJNAT,Female,Yes,No,72,One year,109.15,No
2055-SIFSS,Female,Yes,No,55,Month-to-month,51.65,No
7153-OANIO,Male,No,No,1,Month-to-month,69.95,Yes
8417-FMLZI,Male,Yes,Yes,6,Month-to-month,83.55,Yes
2609-IAICY,Female,No,No,1,Month-to-month,77.15,Yes
3131-NWVFJ,Female,Yes,Yes,14,One year,19.55,No
6980-IMXXE,Female,Yes,Yes,69,Two year,20.2,No
6625-UTXEW,Female,Yes,No,12,Month-to-month,51.25,No
9522-ZSINC,Male,No,No,13,One year,19.95,No
6032-KRXXO,Male,No,No,30,Month-to-month,90.25,Yes
2267-WTPYD,Female,Yes,No,57,Month-to-month,94,No
5602-BVFMK,Female,No,No,12,One year,19.3,No
7218-HKQFK,Male,Yes,No,2,Month-to-month,94.2,Yes
9223-UCPVT,Female,No,No,1,Month-to-month,94.4,Yes
4468-KAZHE,Female,Yes,No,20,Month-to-month,60,No
9894-QMIMJ,Female,No,No,23,One year,55.8,No
2013-SGDXK,Female,No,No,1,Month-to-month,84.3,Yes
1261-FWTTE,Male,No,No,23,Month-to-month,34.65,No
4958-XCBDQ,Male,No,No,35,Month-to-month,101.4,Yes
7407-SUJIZ,Male,No,No,25,Month-to-month,20.6,No
1264-FUHCX,Female,Yes,No,49,One year,56.3,No
8821-KVZKQ,Female,Yes,Yes,70,One year,58.4,No
7128-GGCNO,Male,No,No,46,Month-to-month,72.8,No
4881-GQJTW,Male,No,No,14,Month-to-month,19.6,No
1324-NLTJE,Female,No,No,15,Month-to-month,55,Yes
4132-KALRO,Female,No,No,4,Month-to-month,100.85,No
9514-JDSKI,Male,Yes,No,1,Month-to-month,40.2,Yes
3717-OFRTN,Male,No,No,1,Month-to-month,19.75,No
4592-IWTJI,Female,Yes,Yes,3,Month-to-month,29.7,Yes
9786-IJYDL,Female,No,No,35,Two year,113.2,No
9227-LUNBG,Female,No,No,1,Month-to-month,24.6,Yes
6942-LBFDP,Female,No,No,2,Month-to-month,20.55,No
7508-KBIMB,Male,Yes,Yes,24,One year,56.25,No
8878-RYUKI,Female,No,No,52,Month-to-month,59.45,No
3067-SVMTC,Female,Yes,No,68,One year,55.9,No
1599-EAHXY,Male,Yes,Yes,60,One year,23.95,No
1820-TQVEV,Male,No,No,1,Month-to-month,69.55,Yes
2603-HVKCG,Male,No,No,31,Month-to-month,101.4,No
5170-PTRKA,Female,Yes,Yes,49,One year,35.8,No
3853-LYGAM,Male,No,No,17,Month-to-month,95.65,No
8984-EYLLL,Male,Yes,No,64,Two year,105.25,No
3460-TJBWI,Male,Yes,Yes,24,Two year,24.2,No
1215-VFYVK,Female,No,No,4,Month-to-month,48.25,No
7315-WYOAW,Male,No,No,13,Month-to-month,100.75,No
6818-DJXAA,Female,No,Yes,10,Month-to-month,91.1,No
2669-QVCRG,Female,No,No,41,Month-to-month,81.3,No
1469-LBJQJ,Female,Yes,No,66,Month-to-month,105.2,No
7634-HLQJR,Female,Yes,Yes,47,Two year,20.05,No
4680-KUTAJ,Female,No,No,11,Month-to-month,55.6,No
6143-JQKEA,Male,No,No,10,Month-to-month,45.8,No
5090-EMGTC,Female,Yes,No,59,Two year,100.05,No
0297-RBCSG,Male,No,No,19,One year,65.35,No
5062-CJJKH,Male,Yes,Yes,25,One year,53.65,No
5791-KAJFD,Female,Yes,Yes,56,One year,68.75,No
1963-VAUKV,Female,No,No,1,Month-to-month,20.4,Yes
4030-VPZBD,Female,No,No,2,Month-to-month,30.9,Yes
6416-JNVRK,Female,No,No,46,One year,55.65,No
6857-VWJDT,Female,No,No,1,Month-to-month,95.65,Yes
8337-MSSXB,Female,No,No,14,Month-to-month,86.3,Yes
4877-EVATK,Male,No,No,1,Month-to-month,20,Yes
3005-NFMTA,Male,No,No,55,Month-to-month,98.8,Yes
2167-FQSTQ,Female,Yes,No,72,Two year,92.4,No
0042-RLHYP,Female,Yes,Yes,69,Two year,19.7,No
8456-QDAVC,Male,No,No,19,Month-to-month,78.7,No
6168-YBYNP,Male,No,No,59,Month-to-month,111.35,No
3511-APPBJ,Male,No,No,23,One year,99.95,No
3797-VTIDR,Male,Yes,No,1,Month-to-month,23.45,Yes
9853-JFZDU,Female,Yes,No,35,Month-to-month,56.85,No
1333-PBMXB,Female,Yes,Yes,54,One year,24.75,No
3955-JBZZM,Male,No,No,20,Month-to-month,78.8,No
3752-CQSJI,Female,Yes,Yes,13,Month-to-month,20.45,No
7596-ZYWBB,Female,No,No,65,Two year,59.6,No
9244-ZVAPM,Male,No,No,1,Month-to-month,45.6,No
5916-QEWPT,Female,Yes,No,2,Month-to-month,69,No
5129-HHMZC,Female,Yes,No,43,Two year,86.45,No
6719-FGEDO,Female,Yes,No,72,Two year,97,No
7989-CHGTL,Male,No,No,1,Month-to-month,19.6,Yes
8812-ZRHFP,Female,Yes,Yes,30,One year,86.45,No
8873-GLDMH,Female,No,No,6,Month-to-month,73.85,No
5884-GCYMI,Male,No,No,1,Month-to-month,69.4,Yes
0064-SUDOG,Female,Yes,Yes,12,Two year,20.3,No
2332-TODQS,Female,No,No,48,One year,25.05,No
3082-WQRVY,Male,Yes,No,14,One year,19.65,No
3538-WZPHD,Male,No,No,3,Month-to-month,29.6,Yes
5832-EXGTT,Male,Yes,Yes,29,Month-to-month,60.2,No
2320-YKQBO,Female,No,No,7,Month-to-month,19.3,No
5177-RVZNU,Female,No,Yes,37,One year,20.3,No
3249-VHRIP,Female,No,No,62,Two year,43.6,No
6762-QVYJO,Female,Yes,Yes,58,Two year,59.75,No
4404-HIBDJ,Female,No,No,25,One year,74.3,Yes
4795-UXVCJ,Male,No,No,26,One year,19.8,No
8963-MQVYN,Female,No,Yes,22,Month-to-month,20.55,No
0917-EZOLA,Male,Yes,No,72,Two year,104.15,Yes
4750-UKWJK,Female,Yes,No,37,One year,19.6,No
2876-VBBBL,Female,No,No,1,Month-to-month,20.25,Yes
8738-JOKAR,Female,No,No,42,One year,67.7,No
3976-BWUCK,Female,Yes,No,30,Month-to-month,94.1,Yes
5624-BQSSA,Female,No,No,1,Month-to-month,20.95,Yes
4981-FLTMF,Female,Yes,Yes,57,Month-to-month,65.2,No
6215-NQCPY,Male,No,No,15,Month-to-month,99.7,No
4318-RAJVY,Female,No,No,10,One year,19.8,No
9261-WDCAF,Male,No,No,3,Month-to-month,54.65,No
5229-DTFYB,Female,No,No,41,Two year,98.8,No
5012-YSPJJ,Male,Yes,Yes,31,Month-to-month,54.35,No
0263-FJTQO,Male,Yes,Yes,50,Two year,70.5,No
6543-CPZMK,Male,Yes,Yes,9,Month-to-month,29.95,Yes
7105-MXJLL,Female,Yes,No,26,One year,60.7,No
6733-LRIZX,Male,No,No,35,Two year,108.95,No
1157-BQCUW,Male,No,No,1,Month-to-month,74.95,Yes
5939-XAIXZ,Female,No,No,19,Month-to-month,56.1,No
9220-ZNKJI,Female,Yes,No,55,Two year,88.8,No
1898-JSNDC,Female,No,No,39,One year,58.6,No
7954-MLBUN,Male,No,No,31,Two year,99.45,No
0292-WEGCH,Female,Yes,Yes,54,Month-to-month,86.2,No
3557-HTYWR,Female,No,No,47,Two year,74.05,No
5485-ITNPC,Male,Yes,No,66,Two year,85.9,No
6061-PQHMK,Female,No,No,25,One year,19.9,No
9695-IDRZR,Female,No,Yes,34,Two year,116.15,No
2885-HIJDH,Male,Yes,Yes,69,Two year,86.9,No
1596-OQSPS,Female,No,No,11,Month-to-month,51.1,No
1575-KRZZE,Female,No,No,4,Month-to-month,55.2,No
0635-WKOLD,Male,Yes,No,40,One year,70.75,No
8086-OVPWV,Male,No,No,2,Month-to-month,80.2,Yes
9555-SAHUZ,Female,Yes,Yes,38,Month-to-month,54.5,No
5294-DMSFH,Female,Yes,Yes,29,Month-to-month,87.8,No
2436-QBZFP,Female,Yes,Yes,22,Month-to-month,39.2,No
6907-NZZIJ,Female,No,No,36,Month-to-month,99.15,Yes
8118-TJAFG,Male,Yes,Yes,9,Month-to-month,101.5,No
3916-NRPAP,Male,No,No,3,Month-to-month,85.7,No
0839-JTCUD,Female,Yes,Yes,66,Two year,89.9,No
9298-WGMRW,Female,Yes,No,72,Two year,115.5,No
2091-MJTFX,Female,Yes,Yes,30,Month-to-month,51.2,Yes
3620-MWJNE,Male,No,No,2,Month-to-month,54.45,No
4707-MAXGU,Male,Yes,No,72,Two year,25.85,No
4415-WNGVR,Female,Yes,No,12,One year,79.2,No
2873-ZLIWT,Female,Yes,Yes,40,Month-to-month,84.85,Yes
8414-MYSHR,Male,No,No,5,Month-to-month,91.4,Yes
3858-XHYJO,Female,Yes,No,40,One year,105.75,No
3400-ESFUW,Male,Yes,Yes,55,Two year,57.55,Yes
6896-SRVYQ,Male,No,No,44,Month-to-month,73.85,No
4277-UDIEF,Male,Yes,Yes,24,Month-to-month,81,No
6434-TTGJP,Male,Yes,Yes,10,Two year,53.7,No
7089-IVVAZ,Female,No,No,8,Month-to-month,103.35,Yes
1599-MMYRQ,Male,Yes,Yes,62,One year,81.45,No
8822-KNBHV,Female,No,No,48,One year,83.45,No
9658-WYUFB,Female,No,No,17,Month-to-month,94.4,Yes
6407-GSJNL,Female,No,No,51,Two year,24.95,No
6745-JEFZB,Male,Yes,No,35,Month-to-month,91.5,No
6873-UDNLD,Male,No,No,40,Month-to-month,67.45,No
7594-LZNWR,Male,No,No,34,Month-to-month,69.15,No
3038-PQIUY,Female,No,No,38,Month-to-month,66.15,No
4765-OXPPD,Female,Yes,Yes,9,Month-to-month,65,Yes
0682-USIXD,Female,Yes,No,21,Month-to-month,86.05,No
9512-UIBFX,Male,Yes,Yes,18,Month-to-month,95.15,Yes
3537-RYBHH,Female,Yes,No,47,Month-to-month,67.45,No
4804-NCPET,Male,Yes,Yes,19,Two year,20.2,No
2718-YSKCS,Male,Yes,Yes,71,Two year,19.6,No
1548-FEHVL,Male,Yes,No,61,Month-to-month,106.2,No
3451-VAWLI,Female,Yes,Yes,35,Two year,19.7,No
7919-ZODZZ,Female,Yes,Yes,10,One year,65.9,No
2215-ZAFGX,Male,No,No,9,Month-to-month,85.5,No
2139-FQHLM,Male,No,No,19,Month-to-month,89.95,No
4195-SMMNX,Male,No,No,2,Month-to-month,20.35,Yes
4672-FOTSD,Male,No,No,12,Month-to-month,67.25,No
9786-YWNHU,Female,Yes,Yes,63,Two year,63.55,No
3161-ONRWK,Male,Yes,Yes,60,One year,65.85,No
9938-ZREHM,Female,Yes,No,37,One year,72.1,No
5494-HECPR,Female,No,No,1,Month-to-month,80.25,Yes
3587-PMCOY,Male,No,No,10,One year,98.9,No
6176-YJWAS,Male,Yes,No,72,Two year,97.95,No
8158-WPEZG,Male,No,No,11,Month-to-month,35.65,No
6651-AZVTJ,Male,Yes,Yes,49,Month-to-month,99.8,Yes
4632-XJMEX,Male,No,Yes,53,One year,62.85,No
9637-EIHEQ,Female,No,No,1,Month-to-month,50.8,Yes
1414-YADCW,Male,Yes,No,70,Two year,84.6,No
6035-BXTTY,Female,No,No,32,Month-to-month,54.65,No
8166-ORCHU,Male,Yes,No,33,One year,93.55,No
2465-BLLEU,Male,No,No,1,Month-to-month,19.75,No
7926-IJOOU,Male,No,No,1,Month-to-month,19.3,No
2123-AGEEN,Female,No,No,7,Month-to-month,84.35,No
5375-XLDOF,Male,Yes,Yes,69,Two year,114.35,No
4832-VRBMR,Male,Yes,No,65,One year,103.15,No
4256-ZWTZI,Female,No,Yes,5,Month-to-month,51,No
4597-NUCQV,Male,No,No,24,Month-to-month,101.25,Yes
4526-EXKKN,Male,No,No,40,Two year,24.6,No
8799-OXZMD,Female,No,No,28,Month-to-month,29.75,No
2507-QZPQS,Male,No,No,15,Month-to-month,95.7,No
7445-WMRBW,Female,No,No,48,One year,73.85,No
2954-PIBKO,Female,Yes,Yes,69,Two year,64.15,No
0843-WTBXE,Male,No,No,53,Month-to-month,85.45,Yes
7820-ZYGNY,Male,No,No,63,One year,90.45,No
5433-KYGHE,Female,No,Yes,14,Month-to-month,86,No
0004-TLHLJ,Male,No,No,4,Month-to-month,73.9,Yes
6959-UWKHF,Male,No,No,1,Month-to-month,42.9,Yes
5271-DBYSJ,Male,No,No,11,Month-to-month,79.15,No
0504-HHAPI,Female,No,No,27,Month-to-month,88.3,Yes
7673-BQGKU,Female,Yes,Yes,69,Two year,20.15,No
6656-GULJQ,Male,Yes,Yes,72,Two year,83.55,No
7812-FZHPE,Female,Yes,Yes,17,Month-to-month,24.1,Yes
5543-QDCRY,Male,No,No,4,Month-to-month,56.4,No
2200-DSAAL,Female,No,No,68,Two year,80.65,No
0401-WDBXM,Male,Yes,Yes,72,Two year,105.55,No
6072-NUQCB,Male,Yes,Yes,22,One year,20.25,No
7088-FBAWU,Female,Yes,Yes,17,Month-to-month,74.55,No
2773-OVBPK,Male,Yes,No,67,Two year,111.3,No
4992-LTJNE,Male,Yes,Yes,72,Two year,55.3,No
9633-XQABV,Female,No,No,3,Month-to-month,70.25,No
0732-OCQOC,Female,Yes,Yes,52,Two year,25.05,No
5318-IXUZF,Female,No,No,2,Month-to-month,87.15,Yes
4884-ZTHVF,Female,No,No,8,Month-to-month,87.1,No
6259-WJQLC,Male,No,No,32,Month-to-month,81.1,No
3724-BSCVH,Male,Yes,Yes,10,One year,20.45,No
0201-MIBOL,Female,No,No,66,Two year,102.4,No
2178-PMGCJ,Male,No,No,22,Month-to-month,69.7,No
0219-QAERP,Male,Yes,No,30,One year,19.8,No
1183-CANVH,Female,Yes,No,23,One year,60,No
2990-OGYTD,Female,Yes,No,67,Two year,86.15,No
7657-DYEPJ,Male,No,No,38,One year,70.15,Yes
9477-LGWQI,Male,Yes,Yes,70,Two year,80.15,No
0384-LPITE,Male,No,No,40,One year,62.05,No
6968-URWQU,Male,Yes,No,43,One year,56.35,No
1552-AAGRX,Female,No,No,30,Month-to-month,106.4,No
1843-TLSGD,Female,Yes,Yes,13,Two year,20.85,No
7054-ENNGU,Female,Yes,No,9,Month-to-month,50.85,No
7730-IUTDZ,Male,No,No,43,Month-to-month,75.2,Yes
8784-CGILN,Female,No,No,18,Month-to-month,99.85,Yes
4194-FJARJ,Female,Yes,Yes,54,Two year,60,No
8510-BBWMU,Female,No,No,41,One year,19.75,No
1834-ABKHQ,Female,Yes,Yes,52,One year,50.95,No
4801-JZAZL,Female,Yes,Yes,11,Month-to-month,29.6,No
4693-VWVBO,Female,No,No,3,Month-to-month,19.55,No
3071-MVJCD,Male,Yes,Yes,72,Two year,82.3,No
1791-PQHBB,Female,No,Yes,2,Month-to-month,61.2,No
6124-ACRHJ,Female,No,No,1,Month-to-month,19.75,No
6614-YOLAC,Female,Yes,Yes,71,Two year,58.65,No
4500-HKANN,Male,Yes,Yes,23,Two year,59.7,No
6837-BJYDQ,Male,No,No,3,One year,19.6,No
0379-DJQHR,Male,Yes,Yes,67,Two year,81.35,No
3717-FDJFU,Male,No,Yes,5,Two year,20.45,No
9057-MSWCO,Male,Yes,No,27,Month-to-month,30.75,Yes
9769-TSBZE,Female,No,Yes,70,Two year,66,No
0017-IUDMW,Female,Yes,Yes,72,Two year,116.8,No
9967-ATRFS,Female,No,No,19,Month-to-month,19.9,No
5956-VKDTT,Female,Yes,No,5,Month-to-month,74.35,Yes
5845-BZZIB,Male,Yes,Yes,35,Two year,20.1,No
7274-CGTOD,Male,No,No,62,Two year,43.7,No
7136-RVDTZ,Male,No,No,70,One year,45.25,Yes
2592-SEIFQ,Male,No,No,3,Month-to-month,24.75,Yes
9375-MHRRS,Male,No,No,6,Month-to-month,50.05,No
8010-EZLOU,Male,No,No,15,Month-to-month,80.2,Yes
2120-SMPEX,Male,No,No,25,Month-to-month,20.15,No
0137-UDEUO,Female,No,No,3,Month-to-month,19.85,Yes
0229-LFJAF,Male,No,No,72,Two year,69.65,No
7890-VYYWG,Male,Yes,No,3,Month-to-month,36.45,Yes
7767-UXAGJ,Male,No,No,1,Month-to-month,50.45,Yes
2372-HWUHI,Male,No,No,2,Month-to-month,44.35,Yes
6345-FZOQH,Male,Yes,No,69,Two year,19.9,No
2011-TRQYE,Male,No,No,18,Month-to-month,33.5,Yes
9891-NQDBD,Female,Yes,No,28,One year,25.55,No
7721-DVEKZ,Female,No,No,1,Month-to-month,19.65,No
3319-DWOEP,Male,Yes,No,6,Month-to-month,95.75,Yes
2408-WITXK,Female,No,No,10,Month-to-month,34.7,Yes
0611-DFXKO,Male,Yes,No,20,Month-to-month,89,Yes
9846-GKXAS,Female,No,No,9,Month-to-month,90.8,Yes
3679-XASPY,Female,Yes,Yes,1,Month-to-month,19.45,No
6619-RPLQZ,Female,Yes,Yes,45,Two year,20.85,No
7568-PODML,Male,No,No,1,Month-to-month,45.3,Yes
1621-YNCJH,Female,Yes,No,36,Two year,106.05,No
3590-TCXTB,Male,No,No,1,Month-to-month,20.35,No
4391-LNRXK,Male,No,No,22,Month-to-month,94.95,No
4713-ZBURT,Male,No,Yes,45,Two year,99.7,No
4459-BBGHE,Male,No,Yes,30,Month-to-month,44.5,No
9526-JAWYF,Male,No,No,26,Month-to-month,89.8,Yes
7627-JKIAZ,Female,Yes,No,37,Month-to-month,78.95,Yes
9420-LOJKX,Female,No,No,15,Month-to-month,99.1,Yes
1848-LBZHY,Female,Yes,No,7,Month-to-month,50.3,No
6599-GZWCM,Female,No,No,13,One year,74.65,No
4568-TTZRT,Male,No,No,9,Month-to-month,20.4,No
0394-YONDK,Male,Yes,Yes,70,Two year,25.15,No
